idx,class_name
0,Dress
1,Leggings
2,Jeans
3,Tank
4,Blouse
5,Joggers
6,Tee
7,Romper
8,Dress
9,Tee
10,Cardigan
11,Dress
12,Blouse
13,Cardigan
14,Blouse
15,Romper
16,Romper
17,Kimono
18,Cardigan
19,Dress
20,Dress
21,Dress
22,Dress
23,Dress
24,Shorts
25,Dress
26,Dress
27,Dress
28,Shorts
29,Tee
30,Tee
31,Jacket
32,Parka
33,Dress
34,Skirt
35,Dress
36,Skirt
37,Tank
38,Skirt
39,Dress
40,Skirt
41,Cardigan
42,Tee
43,Blouse
44,Skirt
45,Coat
46,Dress
47,Cardigan
48,Dress
49,Tee
50,Shorts
51,Shorts
52,Dress
53,Skirt
54,Tee
55,Dress
56,Tee
57,Tank
58,Dress
59,Shorts
60,Top
61,Tee
62,Shorts
63,Dress
64,Dress
65,Sweater
66,Dress
67,Dress
68,Leggings
69,Tee
70,Dress
71,Leggings
72,Tee
73,Leggings
74,Dress
75,Dress
76,Romper
77,Tee
78,Dress
79,Blouse
80,Jacket
81,Tee
82,Sweater
83,Dress
84,Hoodie
85,Romper
86,Blouse
87,Cardigan
88,Cardigan
89,Shorts
90,Tank
91,Joggers
92,Blouse
93,Dress
94,Tank
95,Shorts
96,Blouse
97,Dress
98,Cutoffs
99,Dress
100,Dress
101,Dress
102,Tee
103,Dress
104,Joggers
105,Jacket
106,Cardigan
107,Blouse
108,Cardigan
109,Dress
110,Dress
111,Skirt
112,Dress
113,Blouse
114,Tee
115,Top
116,Tee
117,Tee
118,Dress
119,Dress
120,Dress
121,Dress
122,Jeans
123,Dress
124,Cardigan
125,Cutoffs
126,Blouse
127,Blouse
128,Shorts
129,Jacket
130,Cardigan
131,Jeans
132,Romper
133,Shorts
134,Shorts
135,Leggings
136,Leggings
137,Jumpsuit
138,Tank
139,Dress
140,Tee
141,Jacket
142,Tee
143,Dress
144,Jeans
145,Hoodie
146,Tee
147,Dress
148,Coat
149,Dress
150,Tee
151,Joggers
152,Tank
153,Tee
154,Cardigan
155,Blouse
156,Dress
157,Dress
158,Tee
159,Dress
160,Leggings
161,Jacket
162,Jacket
163,Dress
164,Blouse
165,Tee
166,Skirt
167,Dress
168,Shorts
169,Dress
170,Tee
171,Sweater
172,Jumpsuit
173,Jacket
174,Blouse
175,Cardigan
176,Dress
177,Tank
178,Cardigan
179,Blouse
180,Tee
181,Dress
182,Tee
183,Dress
184,Tee
185,Tank
186,Tee
187,Dress
188,Shorts
189,Tee
190,Jacket
191,Skirt
192,Jacket
193,Jumpsuit
194,Dress
195,Dress
196,Tee
197,Blazer
198,Cardigan
199,Blazer
200,Shorts
201,Tee
202,Skirt
203,Tee
204,Blouse
205,Shorts
206,Tee
207,Tee
208,Dress
209,Jacket
210,Skirt
211,Dress
212,Tee
213,Cardigan
214,Shorts
215,Jeans
216,Sweater
217,Shorts
218,Blazer
219,Dress
220,Blouse
221,Joggers
222,Tank
223,Tee
224,Jumpsuit
225,Blouse
226,Blouse
227,Sweater
228,Blouse
229,Tee
230,Dress
231,Cardigan
232,Dress
233,Dress
234,Shorts
235,Jumpsuit
236,Dress
237,Tee
238,Blazer
239,Dress
240,Dress
241,Dress
242,Dress
243,Tee
244,Blouse
245,Dress
246,Dress
247,Tank
248,Skirt
249,Dress
250,Dress
251,Tee
252,Tank
253,Culottes
254,Tank
255,Blazer
256,Blazer
257,Dress
258,Skirt
259,Shorts
260,Blouse
261,Jacket
262,Dress
263,Tee
264,Tee
265,Jacket
266,Jacket
267,Jeans
268,Dress
269,Dress
270,Dress
271,Blazer
272,Tank
273,Dress
274,Cardigan
275,Coat
276,Blouse
277,Sweater
278,Dress
279,Sweater
280,Shorts
281,Tee
282,Jeans
283,Dress
284,Tee
285,Tee
286,Tee
287,Dress
288,Cardigan
289,Tee
290,Tank
291,Blouse
292,Dress
293,Romper
294,Sweater
295,Dress
296,Dress
297,Tee
298,Dress
299,Tee
300,Dress
301,Blouse
302,Tank
303,Top
304,Cardigan
305,Dress
306,Dress
307,Sweater
308,Skirt
309,Dress
310,Top
311,Tee
312,Sweatpants
313,Shorts
314,Cardigan
315,Dress
316,Skirt
317,Leggings
318,Shorts
319,Shorts
320,Jumpsuit
321,Dress
322,Sweatpants
323,Leggings
324,Shorts
325,Leggings
326,Dress
327,Leggings
328,Tank
329,Dress
330,Tee
331,Blouse
332,Dress
333,Leggings
334,Tank
335,Skirt
336,Tee
337,Tee
338,Blouse
339,Cardigan
340,Tee
341,Sweater
342,Skirt
343,Dress
344,Dress
345,Tee
346,Dress
347,Dress
348,Tank
349,Dress
350,Dress
351,Shorts
352,Dress
353,Dress
354,Jumpsuit
355,Tee
356,Dress
357,Dress
358,Tee
359,Romper
360,Dress
361,Tee
362,Shorts
363,Shorts
364,Tee
365,Dress
366,Dress
367,Tee
368,Tee
369,Blouse
370,Jacket
371,Tee
372,Blouse
373,Dress
374,Cardigan
375,Tee
376,Dress
377,Dress
378,Blouse
379,Dress
380,Tee
381,Cardigan
382,Dress
383,Blouse
384,Tee
385,Jumpsuit
386,Tee
387,Jeans
388,Dress
389,Dress
390,Dress
391,Dress
392,Tank
393,Tee
394,Tank
395,Dress
396,Dress
397,Skirt
398,Romper
399,Tee
400,Tee
401,Jeans
402,Tee
403,Dress
404,Jacket
405,Dress
406,Tee
407,Dress
408,Skirt
409,Skirt
410,Blouse
411,Dress
412,Jumpsuit
413,Tee
414,Shorts
415,Tee
416,Tee
417,Tank
418,Tee
419,Top
420,Hoodie
421,Tank
422,Parka
423,Shorts
424,Dress
425,Cardigan
426,Jumpsuit
427,Tank
428,Blazer
429,Tank
430,Blouse
431,Jumpsuit
432,Tank
433,Dress
434,Cardigan
435,Tee
436,Dress
437,Jacket
438,Dress
439,Shorts
440,Tee
441,Cardigan
442,Blouse
443,Dress
444,Romper
445,Dress
446,Cardigan
447,Shorts
448,Blouse
449,Jeans
450,Dress
451,Blouse
452,Blouse
453,Skirt
454,Cardigan
455,Leggings
456,Joggers
457,Kimono
458,Blazer
459,Shorts
460,Blazer
461,Romper
462,Top
463,Dress
464,Tee
465,Cardigan
466,Jeans
467,Jumpsuit
468,Blouse
469,Jumpsuit
470,Parka
471,Blouse
472,Jeans
473,Tee
474,Tank
475,Cutoffs
476,Dress
477,Tee
478,Dress
479,Dress
480,Skirt
481,Sweater
482,Dress
483,Tee
484,Cardigan
485,Skirt
486,Tank
487,Blouse
488,Jumpsuit
489,Tee
490,Blazer
491,Blouse
492,Dress
493,Dress
494,Tank
495,Jacket
496,Dress
497,Dress
498,Parka
499,Tee
500,Tee
501,Blouse
502,Sweater
503,Jeans
504,Tank
505,Tee
506,Cardigan
507,Blazer
508,Dress
509,Jeans
510,Dress
511,Top
512,Tee
513,Tee
514,Dress
515,Skirt
516,Shorts
517,Tee
518,Tank
519,Tee
520,Dress
521,Hoodie
522,Blazer
523,Tee
524,Dress
525,Romper
526,Blouse
527,Dress
528,Cardigan
529,Skirt
530,Tank
531,Dress
532,Tank
533,Dress
534,Blazer
535,Tee
536,Dress
537,Cutoffs
538,Sweater
539,Blouse
540,Dress
541,Dress
542,Jacket
543,Dress
544,Blouse
545,Jeans
546,Shorts
547,Skirt
548,Tee
549,Tee
550,Dress
551,Joggers
552,Cardigan
553,Shorts
554,Tee
555,Blouse
556,Tee
557,Dress
558,Leggings
559,Dress
560,Tee
561,Tank
562,Shorts
563,Leggings
564,Cardigan
565,Cardigan
566,Jacket
567,Blouse
568,Dress
569,Tee
570,Jeans
571,Cardigan
572,Dress
573,Dress
574,Top
575,Blouse
576,Coat
577,Coat
578,Blazer
579,Tee
580,Blouse
581,Sweater
582,Tee
583,Jeans
584,Blouse
585,Jacket
586,Dress
587,Top
588,Jacket
589,Tee
590,Tee
591,Jacket
592,Tee
593,Dress
594,Tank
595,Dress
596,Tee
597,Skirt
598,Dress
599,Dress
600,Leggings
601,Dress
602,Blouse
603,Dress
604,Cutoffs
605,Cardigan
606,Tee
607,Dress
608,Blouse
609,Dress
610,Blazer
611,Romper
612,Tank
613,Skirt
614,Dress
615,Tee
616,Tank
617,Shorts
618,Dress
619,Dress
620,Blazer
621,Blouse
622,Dress
623,Tee
624,Dress
625,Cardigan
626,Tank
627,Leggings
628,Tee
629,Dress
630,Dress
631,Dress
632,Dress
633,Hoodie
634,Cardigan
635,Dress
636,Tee
637,Jeans
638,Tee
639,Dress
640,Tee
641,Romper
642,Sweater
643,Dress
644,Cardigan
645,Romper
646,Tee
647,Dress
648,Blouse
649,Dress
650,Sweater
651,Shorts
652,Jacket
653,Dress
654,Shorts
655,Top
656,Romper
657,Henley
658,Shorts
659,Romper
660,Dress
661,Cutoffs
662,Dress
663,Skirt
664,Jeans
665,Tank
666,Jeans
667,Tee
668,Blouse
669,Hoodie
670,Tank
671,Joggers
672,Dress
673,Skirt
674,Blouse
675,Tee
676,Tee
677,Tank
678,Dress
679,Dress
680,Tee
681,Sweater
682,Blazer
683,Leggings
684,Dress
685,Cardigan
686,Joggers
687,Jeans
688,Jacket
689,Tee
690,Blouse
691,Shorts
692,Leggings
693,Tank
694,Tank
695,Romper
696,Tank
697,Jacket
698,Romper
699,Leggings
700,Blouse
701,Tee
702,Jeans
703,Shorts
704,Tank
705,Shorts
706,Shorts
707,Sweater
708,Dress
709,Blouse
710,Blouse
711,Sweater
712,Tank
713,Joggers
714,Blouse
715,Dress
716,Dress
717,Blouse
718,Blouse
719,Blazer
720,Sweatpants
721,Joggers
722,Tank
723,Skirt
724,Tee
725,Blazer
726,Jacket
727,Cardigan
728,Jacket
729,Jeans
730,Joggers
731,Jacket
732,Sweater
733,Tee
734,Dress
735,Leggings
736,Jumpsuit
737,Shorts
738,Sweater
739,Blouse
740,Dress
741,Dress
742,Dress
743,Blouse
744,Joggers
745,Skirt
746,Blazer
747,Blazer
748,Jeans
749,Shorts
750,Cardigan
751,Romper
752,Sweater
753,Kimono
754,Blouse
755,Tee
756,Dress
757,Shorts
758,Shorts
759,Tank
760,Shorts
761,Jacket
762,Joggers
763,Dress
764,Dress
765,Dress
766,Leggings
767,Dress
768,Dress
769,Tee
770,Joggers
771,Jeans
772,Cardigan
773,Tee
774,Skirt
775,Dress
776,Dress
777,Dress
778,Blazer
779,Tank
780,Skirt
781,Blouse
782,Sweater
783,Tee
784,Dress
785,Dress
786,Tank
787,Dress
788,Dress
789,Leggings
790,Jacket
791,Blouse
792,Dress
793,Skirt
794,Dress
795,Cardigan
796,Dress
797,Jeans
798,Tee
799,Dress
800,Blouse
801,Jacket
802,Tank
803,Dress
804,Shorts
805,Tank
806,Tank
807,Dress
808,Jeans
809,Blouse
810,Skirt
811,Dress
812,Blouse
813,Blazer
814,Dress
815,Dress
816,Blouse
817,Dress
818,Tee
819,Coat
820,Tank
821,Dress
822,Tee
823,Skirt
824,Cardigan
825,Blouse
826,Tee
827,Shorts
828,Skirt
829,Tee
830,Dress
831,Tee
832,Dress
833,Blouse
834,Blouse
835,Dress
836,Dress
837,Dress
838,Dress
839,Sweater
840,Joggers
841,Dress
842,Shorts
843,Leggings
844,Shorts
845,Coat
846,Tee
847,Dress
848,Tee
849,Tee
850,Tee
851,Tee
852,Hoodie
853,Dress
854,Tee
855,Dress
856,Tee
857,Tee
858,Shorts
859,Dress
860,Tank
861,Jeans
862,Shorts
863,Sweater
864,Dress
865,Tee
866,Shorts
867,Top
868,Cardigan
869,Dress
870,Dress
871,Cardigan
872,Dress
873,Jeans
874,Jeans
875,Leggings
876,Shorts
877,Blouse
878,Jeans
879,Dress
880,Blouse
881,Shorts
882,Blazer
883,Dress
884,Dress
885,Dress
886,Dress
887,Skirt
888,Cardigan
889,Dress
890,Blouse
891,Cardigan
892,Dress
893,Shorts
894,Shorts
895,Skirt
896,Blouse
897,Dress
898,Dress
899,Jacket
900,Tee
901,Coat
902,Tank
903,Leggings
904,Tee
905,Jacket
906,Dress
907,Blouse
908,Dress
909,Top
910,Dress
911,Cardigan
912,Tee
913,Blouse
914,Dress
915,Jumpsuit
916,Shorts
917,Joggers
918,Jacket
919,Dress
920,Romper
921,Dress
922,Dress
923,Tee
924,Cardigan
925,Tee
926,Skirt
927,Joggers
928,Tee
929,Tank
930,Blouse
931,Tee
932,Cutoffs
933,Dress
934,Cardigan
935,Leggings
936,Tee
937,Shorts
938,Shorts
939,Sweater
940,Tee
